id_municipio,id_municipio_nome,domicilios,taxa_alfabetizacao,indice_envelhecimento,idade_mediana,razao_sexo
1400704,Uiramutã,2339,0.87529,5.4,15.0,105.76
1200435,Santa Rosa do Purus,1344,0.77397,7.68,17.0,103.73
1400407,Normandia,2719,0.91823,8.23,17.0,106.53
1200328,Jordão,2003,0.81876,6.55,18.0,107.1
1303908,São Paulo de Olivença,6010,0.85195,11.12,19.0,105.88
1302306,Jutaí,4845,0.84097,9.52,19.0,106.14
1504505,Melgaço,5715,0.80117,9.25,19.0,109.43
1501105,Bagre,5748,0.82553,8.67,19.0,103.93
1400027,Amajari,2996,0.68174,11.29,19.0,110.0
1200393,Porto Walter,2611,0.81098,9.98,20.0,110.37
1200351,Marechal Thaumaturgo,4321,0.77175,10.13,20.0,110.25
1300201,Atalaia do Norte,3390,0.77182,10.91,20.0,106.25
1304237,Tonantins,3380,0.86882,11.21,20.0,107.16
1302801,Maraã,3021,0.84341,9.3,20.0,109.71
1302108,Japurá,1735,0.87628,8.93,20.0,112.37
1303700,Santo Antônio do Içá,5253,0.85631,11.35,20.0,104.07
1301951,Itamarati,2333,0.73564,10.81,20.0,107.06
1503754,Jacareacanga,5086,0.88787,9.47,20.0,109.39
1400050,Alto Alegre,5060,0.63186,13.09,20.0,108.46
1300631,Beruri,4556,0.82987,13.3,21.0,108.77
1304260,Uarini,3057,0.88073,11.94,21.0,112.6
1301803,Ipixuna,4806,0.75843,9.79,21.0,104.16
1300607,Benjamin Constant,7742,0.87298,13.98,21.0,102.71
1300029,Alvarães,3398,0.87633,13.09,21.0,107.94
1300060,Amaturá,2156,0.85128,13.02,21.0,105.41
1303601,Santa Isabel do Rio Negro,2740,0.84104,13.91,21.0,105.99
1500701,Anajás,6369,0.77419,11.77,21.0,107.44
1400456,Pacaraima,3958,0.9423,9.52,21.0,104.68
1400159,Bonfim,3498,0.91309,15.04,21.0,108.18
1200609,Tarauacá,11273,0.78507,14.67,22.0,110.33
1303502,Pauini,3960,0.75884,13.28,22.0,113.29
1302900,Maués,13271,0.93837,17.25,22.0,109.88
1300508,Barreirinha,6895,0.93965,16.84,22.0,109.22
1301605,Fonte Boa,5345,0.86069,14.88,22.0,106.67
1303809,São Gabriel da Cachoeira,10603,0.90595,16.1,22.0,104.23
1300409,Barcelos,4253,0.78713,15.3,22.0,109.59
1302207,Juruá,2529,0.7936,13.81,22.0,107.74
1301407,Eirunepé,8130,0.74719,16.01,22.0,102.89
1304062,Tabatinga,13839,0.90447,13.11,22.0,99.69
1600154,Pedra Branca do Amapari,3290,0.91297,10.68,22.0,108.42
1600550,Pracuúba,913,0.89874,14.92,22.0,110.11
2101731,Belágua,2070,0.76352,15.13,22.0,112.67
2105476,Jenipapo dos Vieiras,4678,0.72093,16.89,22.0,105.76
5102603,Campinápolis,3756,0.83815,16.85,22.0,105.17
1505809,Portel,13286,0.79452,13.3,22.0,109.21
1501808,Breves,24356,0.811,15.86,22.0,106.94
1502806,Curralinho,8164,0.83142,14.77,22.0,111.37
1200427,Rodrigues Alves,4197,0.79956,16.83,23.0,108.89
1200344,Manoel Urbano,3242,0.77833,15.17,23.0,111.35
1200302,Feijó,9366,0.77351,15.95,23.0,105.76
1303106,Nova Olinda do Norte,6480,0.91023,17.52,23.0,107.82
1301506,Envira,4185,0.73692,13.48,23.0,104.72
1304203,Tefé,17460,0.90163,15.46,23.0,104.88
1301654,Guajará,3611,0.7764,15.99,23.0,106.04
1300805,Borba,7986,0.88882,19.01,23.0,110.53
1301001,Carauari,7241,0.81991,16.33,23.0,105.31
1300086,Anamã,2316,0.87756,14.62,23.0,109.73
1600212,Cutias,1156,0.89411,16.75,23.0,105.58
1600402,Mazagão,5321,0.87556,16.05,23.0,108.34
1600709,Tartarugalzinho,3321,0.88788,15.65,23.0,110.28
1600253,Itaubal,1361,0.89113,14.72,23.0,107.29
2104081,Fernando Falcão,2668,0.73776,17.7,23.0,108.49
2103158,Centro do Guilherme,3283,0.79865,18.45,23.0,105.19
5006358,Paranhos,3632,0.86013,19.76,23.0,102.3
1503101,Gurupá,7375,0.82027,16.13,23.0,110.8
1505205,Oeiras do Pará,8093,0.85649,16.53,23.0,108.9
1505908,Porto de Moz,9065,0.86456,12.68,23.0,108.41
1500305,Afuá,9038,0.77974,15.56,23.0,109.14
1502509,Chaves,4748,0.80865,15.76,23.0,115.34
1721109,Tocantínia,2000,0.89947,19.42,23.0,104.36
1302405,Lábrea,11269,0.804,16.86,24.0,109.01
1303957,São Sebastião do Uatumã,2665,0.94063,17.82,24.0,112.53
1301209,Coari,17564,0.86342,17.33,24.0,103.31
1304005,Silves,2825,0.94491,19.02,24.0,110.01
1300300,Autazes,11007,0.89873,18.64,24.0,110.81
1303304,Novo Aripuanã,4785,0.87966,20.13,24.0,108.33
1300102,Anori,4147,0.86822,16.28,24.0,109.53
1304104,Tapauá,4792,0.79191,16.01,24.0,109.7
1300680,Boa Vista do Ramos,4594,0.95631,22.27,24.0,110.79
1301308,Codajás,5571,0.86176,17.77,24.0,107.85
1300839,Caapiranga,2967,0.91717,17.22,24.0,108.4
1302702,Manicoré,12170,0.89558,19.04,24.0,104.81
1600238,Ferreira Gomes,1796,0.90711,17.08,24.0,101.51
1600808,Vitória do Jari,3006,0.87396,16.92,24.0,106.04
1600501,Oiapoque,7041,0.93628,10.97,24.0,105.4
2100600,Amarante do Maranhão,10849,0.80396,23.37,24.0,106.11
2106375,Maranhãozinho,3326,0.77523,21.04,24.0,102.22
2112605,Urbano Santos,8599,0.78529,21.97,24.0,103.21
2103174,Centro Novo do Maranhão,4508,0.79729,19.44,24.0,109.03
5004809,Japorã,2492,0.84972,21.59,24.0,102.43
5106174,Nova Nazaré,1141,0.82435,19.44,24.0,103.29
1503903,Juruti,12346,0.93764,17.84,24.0,105.77
1200336,Mâncio Lima,5678,0.84267,19.54,25.0,104.82
1200054,Assis Brasil,2426,0.85299,17.65,25.0,104.34
1303205,Novo Airão,4165,0.8957,19.93,25.0,104.34
1303403,Parintins,23900,0.95931,23.91,25.0,102.22
1302504,Manacapuru,26883,0.8897,21.1,25.0,104.15
1600535,Porto Grande,5012,0.90151,18.06,25.0,105.65
1600105,Amapá,2055,0.89526,20.41,25.0,108.26
1600204,Calçoene,2778,0.899,16.71,25.0,110.64
2106359,Marajá do Sena,1918,0.7127,17.71,25.0,122.3
2110278,Santo Amaro do Maranhão,3550,0.82316,24.83,25.0,104.56
2109205,Presidente Juscelino,3161,0.79305,23.99,25.0,106.25
2105005,Humberto de Campos,6984,0.81568,26.89,25.0,107.88
2110401,São Benedito do Rio Preto,5019,0.79038,27.53,25.0,103.25
2101970,Boa Vista do Gurupi,2146,0.80899,22.71,25.0,103.06
2100105,Afonso Cunha,1699,0.7678,24.06,25.0,103.92
2102036,Bom Jesus das Selvas,8264,0.77669,22.63,25.0,106.4
2102374,Cachoeira Grande,2681,0.77803,24.94,25.0,108.44
2106326,Maracaçumé,6000,0.81787,22.68,25.0,96.19
2111029,São João do Carú,3316,0.71787,23.94,25.0,103.81
2112456,Turilândia,7213,0.82449,19.97,25.0,96.91
2109403,Primeira Cruz,3604,0.79691,27.09,25.0,111.73
2100550,Amapá do Maranhão,2025,0.79238,23.5,25.0,103.98
2100956,Arame,7154,0.7501,23.97,25.0,106.35
2102200,Buriti,8083,0.76364,28.03,25.0,104.32
2105351,Itaipava do Grajaú,3811,0.74548,23.68,25.0,106.26
3162450,São João das Missões,3600,0.79976,23.87,25.0,103.15
5003157,Coronel Sapucaia,4478,0.84956,23.53,25.0,96.98
1500404,Alenquer,17906,0.89182,21.23,25.0,105.94
1507953,Tailândia,21587,0.88618,15.04,25.0,101.8
